"start","connection","end","state","score"
".NET","developed_by","Microsoft","active","200"
".NET","is_a","Software Framework","active","240"
"15 cm Nebelwerfer 41","has_type","Rocket artillery","active","225"
"15 cm Nebelwerfer 41","operated_by","Germany","active","180"
"15 cm Nebelwerfer 41","operated_by","Hungary","active","180"
"15 cm Nebelwerfer 41","originated_in","Germany","active","185"
"15 cm Nebelwerfer 41","used_in","World War II","active","165"
"17pdr SP Achilles","has_type","Self-propelled anti-tank gun","active","225"
"17pdr SP Achilles","made_by","Royal Arsenal","active","185"
"21 cm Nebelwerfer 42","has_type","Rocket artillery","active","225"
"21 cm Nebelwerfer 42","made_by","Donauwörth Machine Factory","active","185"
"21 cm Nebelwerfer 42","operated_by","Nazi Germany, France","deprecated","35"
"21 cm Nebelwerfer 42","originated_in","Nazi Germany","active","185"
"21 cm Nebelwerfer 42","used_in","World War II","active","165"
"23andMe","founded_by","Anne Wojcicki","active","190"
"23andMe","founded_by","Linda Avey","active","190"
"23andMe","has_key_person","CEO","rejected","0"
"23andMe","headquartered_in","South San Francisco, California","active","185"
"23andMe","in_industry","Biotechnology","active","165"
"23andMe","in_industry","Genetic genealogy","active","165"
"23andMe","makes","Direct-to-consumer","active","160"
"23andMe","makes","Mobile application","active","160"
"23andMe","makes","personal genome","active","160"
"23andMe","provides","Genealogical DNA testing","active","155"
"23andMe","provides","Genetic testing","active","155"
"23andMe","provides","Medical research","active","155"
"2K12 Kub","designed_by","GM chassis","active","195"
"2K12 Kub","designed_by","MMZ","active","195"
"2K12 Kub","designed_by","NIIP","active","195"
"2K12 Kub","designed_by","Vympel","active","195"
"2K12 Kub","has_type","Surface-to-air missile","active","225"
"2K12 Kub","has_type","surface-to-air missile","active","225"
"2K12 Kub","has_type","Tracked","active","225"
"2K12 Kub","has_variant","2K12 Kub, 2K12E Kvadrat (export version), 2K12M3, 2K12M4","deprecated","35"
"2K12 Kub","has_variant","3M9, 3M9M1, 3M9M3, 3M9M4","deprecated","35"
"2K12 Kub","made_by","Ulyanovsk Mechanical Plant","active","185"
"2K12 Kub","made_by","ZiK","active","185"
"2K12 Kub","operated_by","See list of operators","deprecated","15"
"2K12 Kub","originated_in","Russia","active","185"
"2K12 Kub","originated_in","Soviet Union","active","185"
"2K12 Kub","used_in","1982 Lebanon War","active","165"
"2K12 Kub","used_in","2020 Nagorno-Karabakh war","active","165"
"2K12 Kub","used_in","Angolan Civil War","active","165"
"2K12 Kub","used_in","Chadian Civil War","active","165"
"2K12 Kub","used_in","Gulf War","active","165"
"2K12 Kub","used_in","Iran–Iraq War","active","165"
"2K12 Kub","used_in","Kosovo War","active","165"
"2K12 Kub","used_in","Russian invasion of Ukraine","active","165"
"2K12 Kub","used_in","Russo-Ukrainian War","active","165"
"2K12 Kub","used_in","Syrian Civil War","active","165"
"2K12 Kub","used_in","Western Sahara War","active","165"
"2K12 Kub","used_in","Yemeni Civil War (2014–present)","active","165"
"2K12 Kub","used_in","Yom Kippur War","active","165"
"2K12 Kub","used_in","Yugoslav wars","active","165"
"3D Robotics","founded_by","Chris Anderson","active","190"
"3D Robotics","headquartered_in","Berkeley, California","active","185"
"3D Robotics","in_industry","Drone software","active","165"
"3D Robotics","makes","Drone software, drone data analytics","deprecated","35"
"3D Robotics","owns_brand","Site Scan","active","165"
"3M","has_key_person","Michael F. Roman","active","150"
"3M","has_key_person","William M. Brown","active","150"
"3M","headquartered_in","Maplewood","active","185"
"3M","headquartered_in","Minnesota","active","185"
"3M","headquartered_in","U.S.","active","185"
"3M","in_industry","Conglomerate","active","165"
"9K121 Vikhr","has_type","Air-launched Anti-Air/Tank Missile","active","225"
"9K121 Vikhr","made_by","KBP Instrument Design Bureau","active","185"
"9M123 Khrizantema","designed_by","KBM","active","195"
"9M123 Khrizantema","designed_by","Kolomna","active","195"
"9M123 Khrizantema","has_type","Anti-tank guided missile","active","225"
