"start","connection","end","strength","state"
"15 cm Nebelwerfer 41","has_type","Rocket artillery","0.1","0"
"15 cm Nebelwerfer 41","operated_by","Germany","0.1","0"
"15 cm Nebelwerfer 41","operated_by","Hungary","0.1","0"
"15 cm Nebelwerfer 41","originated_in","Germany","0.1","0"
"15 cm Nebelwerfer 41","used_in","World War II","0.1","0"
"17pdr SP Achilles","has_type","Self-propelled anti-tank gun","0.1","0"
"17pdr SP Achilles","made_by","Royal Arsenal","0.1","0"
"21 cm Nebelwerfer 42","has_type","Rocket artillery","0.1","0"
"21 cm Nebelwerfer 42","made_by","Donauwörth Machine Factory","0.1","0"
"21 cm Nebelwerfer 42","operated_by","Nazi Germany, France","0.1","0"
"21 cm Nebelwerfer 42","originated_in","Nazi Germany","0.1","0"
"21 cm Nebelwerfer 42","used_in","World War II","0.1","0"
"23andMe","founded_by","Anne Wojcicki","0.0","0"
"23andMe","founded_by","Linda Avey","0.0","0"
"23andMe","has_key_person","CEO","0.0","0"
"23andMe","headquartered_in","South San Francisco, California","0.0","0"
"23andMe","in_industry","Biotechnology","0.0","0"
"23andMe","in_industry","Genetic genealogy","0.0","0"
"23andMe","makes","Direct-to-consumer","0.1","0"
"23andMe","makes","Mobile application","0.1","0"
"23andMe","makes","personal genome","0.1","0"
"23andMe","provides","Genealogical DNA testing","0.1","0"
"23andMe","provides","Genetic testing","0.1","0"
"23andMe","provides","Medical research","0.1","0"
"2K12 Kub","designed_by","GM chassis","0.0","0"
"2K12 Kub","designed_by","MMZ","0.0","0"
"2K12 Kub","designed_by","NIIP","0.0","0"
"2K12 Kub","designed_by","Vympel","0.0","0"
"2K12 Kub","has_type","Surface-to-air missile","0.0","0"
"2K12 Kub","has_type","Tracked","0.0","0"
"2K12 Kub","has_type","surface-to-air missile","0.0","0"
"2K12 Kub","has_variant","2K12 Kub, 2K12E Kvadrat (export version), 2K12M3, 2K12M4","0.0","0"
"2K12 Kub","has_variant","3M9, 3M9M1, 3M9M3, 3M9M4","0.0","0"
"2K12 Kub","made_by","Ulyanovsk Mechanical Plant","0.0","0"
"2K12 Kub","made_by","ZiK","0.0","0"
"2K12 Kub","operated_by","See list of operators","0.0","0"
"2K12 Kub","originated_in","Russia","0.0","0"
"2K12 Kub","originated_in","Soviet Union","0.0","0"
"2K12 Kub","used_in","1982 Lebanon War","0.0","0"
"2K12 Kub","used_in","2020 Nagorno-Karabakh war","0.0","0"
"2K12 Kub","used_in","Angolan Civil War","0.0","0"
"2K12 Kub","used_in","Chadian Civil War","0.0","0"
"2K12 Kub","used_in","Gulf War","0.0","0"
"2K12 Kub","used_in","Iran–Iraq War","0.0","0"
"2K12 Kub","used_in","Kosovo War","0.0","0"
"2K12 Kub","used_in","Russian invasion of Ukraine","0.0","0"
"2K12 Kub","used_in","Russo-Ukrainian War","0.0","0"
"2K12 Kub","used_in","Syrian Civil War","0.0","0"
"2K12 Kub","used_in","Western Sahara War","0.0","0"
"2K12 Kub","used_in","Yemeni Civil War (2014–present)","0.0","0"
"2K12 Kub","used_in","Yom Kippur War","0.0","0"
"2K12 Kub","used_in","Yugoslav wars","0.0","0"
